ZipCode,AssessTot,LandUse
10002,1624949,4
10002,1623600,4
10002,1620900,4
10002,1617750,4
10002,1612800,4
10002,1608750,4
10002,1604325,4
10002,1592550,4
10002,1591650,3
10002,1589400,4
10002,1583552,4
10002,1583550,11
10002,1580400,5
10002,1579500,4
10002,1577250,4
10002,1576350,4
10002,1573200,4
10002,1570500,7
10002,1570050,4
10002,1566450,5
10002,1565550,4
10002,1565100,4
10002,1561950,4
10002,1550250,4
10002,1547100,5
10002,1545750,6
10002,1543950,4
10002,1540350,4
10002,1537650,4
10002,1534050,3
10002,1530000,4
10002,1524150,4
10002,1521900,2
10002,1516050,4
10002,1514700,2
10002,1514250,3
10002,1513350,4
10002,1512000,4
10002,1510200,4
10002,1510200,4
10002,1509750,4
10002,1507950,5
10002,1503000,9
10002,1500750,4
10002,1499850,4
10002,1498050,8
10002,1489500,4
10002,1489050,4
10002,1487250,4
10002,1486350,4
10002,1483200,4
10002,1480500,7
10002,1476450,4
10002,1473750,2
10002,1473300,4
10002,1471050,6
10002,1466550,4
10002,1462050,8
10002,1458900,2
10002,1456647,4
10002,1452150,4
10002,1444950,4
10002,1442700,4
10002,1441350,6
10002,1435950,4
10002,1429200,5
10002,1424700,2
10002,1415252,4
10002,1411650,4
10002,1405800,6
10002,1402650,4
10002,1401300,4
10002,1399500,4
10002,1395900,8
10002,1390950,4
10002,1390500,3
10002,1387350,10
10002,1384200,4
10002,1378350,2
10002,1376550,4
10002,1371150,4
10002,1369350,4
10002,1361250,4
10002,1358550,5
10002,1354950,4
10002,1354006,3
10002,1353600,4
10002,1353600,8
10002,1353150,4
10002,1351350,4
10002,1350450,6
10002,1345950,4
10002,1343700,4
10002,1342800,4
10002,1340550,4
10002,1325725,4
10002,1325250,4
10002,1322550,4
10002,1319400,6
10002,1314450,4
10002,1313998,4
10002,1311750,4
10002,1311300,6
10002,1310850,8
10002,1310400,4
10002,1307250,4
10002,1306350,8
10002,1305900,4
10002,1301850,4
10002,1300950,4
10002,1296450,4
10002,1291950,2
10002,1290150,2
10002,1289990,4
10002,1279800,2
10002,1278000,4
10002,1276650,8
10002,1276650,7
10002,1275750,4
10002,1269000,4
10002,1268100,2
10002,1264950,11
10002,1261800,9
10002,1260900,4
10002,1259100,4
10002,1259100,5
10002,1257304,4
10002,1254150,3
10002,1253250,9
10002,1247850,4
10002,1245150,6
10002,1242896,4
10002,1233000,4
10002,1226700,5
10002,1226700,5
10002,1220734,4
10002,1217250,5
10002,1215000,4
10002,1213650,8
10002,1210049,4
10002,1207800,4
10002,1207350,2
10002,1203300,5
10002,1201500,4
10002,1200600,4
10002,1199700,6
10002,1198350,4
10002,1198350,4
10002,1191150,4
10002,1190920,4
10002,1190250,8
10002,1188000,5
10002,1186650,4
10002,1185300,4
10002,1182600,4
10002,1181250,4
10002,1179636,4
10002,1179450,4
10002,1175850,4
10002,1175850,10
10002,1174500,4
10002,1173600,4
10002,1170450,6
10002,1169100,4
10002,1168650,4
10002,1168200,4
10002,1165500,4
10002,1165500,2
10002,1163674,4
10002,1163250,6
10002,1162350,9
10002,1161900,4
10002,1161450,4
10002,1160550,9
10002,1156500,4
10002,1156050,5
10002,1155600,6
10002,1148850,4
10002,1148400,4
10002,1147500,4
10002,1146150,4
